StringID,KO_KR
111510100_0,Esse foi um adversário bastante difícil.
111510101_0,Cuidado. O Núcleo Arcano não é um objeto comum.
111510400_0,...Onde diabos você estava?
12180100_0,Vamos sair daqui por enquanto...
12711100_0,Vejo agentes Bellato e Cora ali!
12711101_0,"Se perdermos terreno agora, acabou!"
12711102_0,Agora eles trazem reforços?
12711200_0,Acabe com eles antes que chamem reforços!
12711201_0,Onde estão nossos reforços?
12711202_0,"Droga, eu sabia que era uma má ideia trabalhar com o Império..."
12711300_0,Por que nosso comando não está respondendo?
12711301_0,Não acho que eles estão aqui para nos apoiar...
12711302_0,Eu não posso morrer assim!
12711400_0,Você se moveu sem autorização do comando.
12711500_0,"Se você resistir, responderemos com força!"
12730200_0,Ótimo trabalho.
12730201_0,"Por favor, cuide dos sacerdotes..."
12730600_0,Irina...
12730601_0,Por que diabos...?
12730602_0,Apenas... eu tenho que sobreviver.
12730900_0,Eles devem ser parados.
12730901_0,Vamos nos juntar aos sacerdotes.
12730902_0,Por aqui para os sacerdotes.
12732300_0,Estamos quase terminando...!
12738000_0,Agente Kelly...
12738100_0,Agente Kelly...!
311540100_0,Espero que não seja tarde demais...
311540101_0,Vamos detê-los aqui!
311540300_0,Capitão...!
311540400_0,"Todo mundo, corra!"
311540500_0,Que patético de minha parte...
311560100_0,Pare ele.
311560101_0,Isso é realmente isso.
311640800_0,A Arca... foi restaurada.
32710900_0,Os Imperiais estão atacando!
32710901_0,"Os reforços de Cora estão aqui! Todos, ataquem!"
32711000_0,O Império até enviou mercenários...!
32711100_0,Unam forças com Bellato!
32711101_0,Os reforços chegaram!
32711200_0,"Não, vamos perder terreno a este ritmo."
32711300_0,Chame por reforço!
B_100303_Distance_0,Akvaran é a capital de Accretia.
B_100303_Distance_1,As conquistas tecnológicas do Império estão todas concentradas aqui.
B_100306_Distance_0,"Algum dia, eu me juntarei às Guardas Imperiais."
B_100307_Distance_0,Curioso sobre o poder de fogo do Império?
B_100307_Distance_1,Mesmo os MAUs de Bellato não podem ignorar o poder de fogo dos lançadores.
B_100307_Distance_2,Invadindo Akvaran? Eles serão destruídos antes mesmo de chegarem aqui.
B_100351_Distance_0,Digite uma linha.
B_100371_InteractionEnd_0,Fui contaminado...
B_100371_InteractionStart_0,Posso sentir o código malicioso...
B_100372_InteractionEnd_0,Eu não posso... segurar...
B_100372_InteractionStart_0,Emergência! Vírus detectado!
B_100407_Distance_0,"Agora, todos estão alinhados?"
B_100407_Distance_1,Cada um de vocês recebe apenas um lanche.
B_100407_Distance_2,"Judy, volte! Você já pegou o seu."
B_100408_Distance_0,Guincho!
B_100408_Distance_1,"Squick, squeak!"
B_100408_Distance_2,Squeak! Squick!
B_100409_Distance_0,O que Sootie está fazendo lá novamente...
B_100409_Distance_1,"Sootie, venha aqui! É hora do banho!"
B_100410_Distance_0,Bem-vindo. Esta é a residência do Duque Oz.
B_100410_Distance_1,Apenas aqueles permitidos por Chen Grayson podem entrar.
B_100410_Distance_2,"Por favor, entenda. É por segurança."
B_100411_Distance_0,Os Chuti aqui são os animais de estimação queridos do Duque Oz.
B_100411_Distance_1,Não mate nenhum Chuti na residência.
B_100411_Distance_2,Para onde foi o preto...?
B_100412_Distance_0,Todos os mercadores viajantes convocados pelo Duque Oz estão aqui.
B_100924_Distance_0,Quem são esses ralés?
B_100925_Distance_0,"Ei, Biosuit! Você tem um momento?"
B_100926_Distance_0,Deixe-me saber se você precisar de alguma coisa.
B_101117_InteractionEnd_0,Obrigado. Eu nunca pensei que você iria tão longe para nos salvar.
B_101118_InteractionEnd_0,Muito obrigado por nos ajudar. Finalmente me sinto uma pessoa novamente.
B_101119_InteractionEnd_0,Achei que estávamos abandonados... Muito obrigado.
B_101204_QuestTarget_0,Aaaah!
B_101205_Distance_0,O que está acontecendo aqui?!
B_101205_Distance_1,É total caos tanto dentro quanto fora!
B_101206_Distance_0,Ugh... Não...
B_101206_Distance_1,Como isso aconteceu?
B_101211_QuestTarget_0,De onde... vieram esses monstros?
B_101503_Distance_0,Por aqui!
B_101511_InteractionStart_0,Aqui estão os dados de mineração.
B_102104_QuestTarget_0,Desta forma.
B_102106_QuestTarget_0,Estamos sendo hackeados!
B_102107_QuestTarget_0,Chame mais Guardiões!
B_102108_QuestTarget_0,Proteja Grayson!
B_102109_QuestTarget_0,"Todos, fiquem atentos! Alguém está tentando nos hackear!"
B_102117_QuestTarget_0,Os droides guardiões na residência foram hackeados!
B_102117_QuestTarget_1,O firewall de emergência está ativo agora. Isso deve conter as tentativas de hacking por enquanto.
B_102214_Distance_0,Que trágico... Como isso pode acontecer?
B_102214_Distance_1,"Vidas inocentes, perdidas assim..."
B_102214_Distance_2,Falhamos em te proteger... Sinto muito.
B_102214_Distance_3,Não conseguimos impedir esta tragédia...
B_102216_Distance_0,Por quê... por que isso aconteceu...?!
B_102216_Distance_1,"Por favor, levante-se... por favor...!"
B_102216_Distance_2,Como assim... tão de repente...
B_102216_Distance_3,Eu gostaria que isso fosse um sonho... volte...
B_102218_Distance_0,Não baixe a guarda. Ainda não estamos seguros.
B_102218_Distance_1,"Algo mais ainda pode acontecer. Pessoal, tenham cuidado."
B_102218_Distance_2,Não podemos relaxar até sabermos que todos estão seguros.
B_105159_Distance_0,Precisamos recuperar Saura...
B_105159_Distance_1,Devemos solicitar reforços?
B_105160_Distance_0,O Imperador deseja expulsar os Sauras.
B_105160_Distance_1,O Império nunca é derrotado.
B_105303_Distance_0,"Por aqui, mercenário."
B_105608_Distance_0,Ei! Por aqui!
B_105710_Distance_0,Para Accretia!
B_105710_Distance_1,"Aguardando seu comando, Oficial."
B_105711_Distance_0,As máquinas hoje em dia são tão indisciplinadas.
B_105711_Distance_1,O Oficial McCoy ficará bravo.
B_105712_Distance_0,Dê tudo de si pela Accretia.
B_105712_Distance_1,Apenas os fortes sobreviverão.
B_105712_Distance_2,Assentir se você entender.
B_105714_Distance_0,Saudações! Nada a relatar.
B_105714_Distance_1,Permanecendo em serviço.
B_105810_Distance_0,Estou trabalhando agora!
B_105810_Distance_1,"Fico sensível durante o trabalho. Por favor, não me incomode."
B_105902_Distance_0,Você está acordado!
B_105904_Distance_0,Desta forma.
B_105926_Distance_0,"Sou Murad, um engenheiro enviado!"
B_105926_Distance_1,Belo traje! Eu gostaria de um também!
B_105926_Distance_2,Precisa de algo?
B_105926_Distance_3,Difícil encontrar boas peças aqui.
B_105926_Distance_4,Olhe para todos esses borks flutuando por aqui.
B_105926_Distance_5,Pedi para transferir toda a minha oficina para cá. Eles recusaram.
B_105927_Distance_0,"Sou Jenkins, um pesquisador tático."
B_105927_Distance_1,Borks são a chave da minha pesquisa tática.
B_105927_Distance_2,Murad ignora o potencial dos borks.
B_105927_Distance_3,Esse traje parece resistente.
B_105927_Distance_4,Você pode ser um componente vital nas minhas táticas.
B_105927_Distance_5,Mantenha sua mente clara.
B_105928_Distance_0,Por aqui!
B_105932_Distance_0,Buzzzz
B_105932_Distance_1,Whizzzz
B_106010_Distance_0,Que floresta horrível.
B_106010_Distance_1,Eu vou sobreviver.
B_106011_Distance_0,Mal posso esperar para testar o novo equipamento.
B_106011_Distance_1,Pronto para cuidar de todos os infectados.
B_106210_Distance_0,Tenho certeza de que algo está acontecendo nesta vila.
B_106211_Distance_0,Para onde foi o Sieg?
